KNN,Linear_Regression,Random_Forest,Gradient_Boost,XGBoost
{'n_neighbors': 35},{'alpha': 36.79795918367348},"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 6}","{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.05}","{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0.01, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 1.0}"
7.077679118367947,6.851643471593359,6.794550117882793,6.837069043873724,6.825956219360698
